dish_name,description,ingredients_json,steps_json,prep_time_min,cook_time_min,servings,difficulty,cuisine_type,meal_type,tags,mood,weather_suggestion,time_suggestion
Mafé,"A rich and hearty West African stew made with meat (usually lamb or beef) in a tomato and peanut sauce.","[{""name"": ""Beef or lamb"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": ""stewing meat, cubed""}, {""name"": ""Peanut butter"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""creamy, unsweetened""}, {""name"": ""Tomato paste"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Sweet potatoes"", ""qty"": ""2"", ""unit"": ""large"", ""note"": ""peeled and cubed""}, {""name"": ""Carrots"", ""qty"": ""3"", ""unit"": """", ""note"": ""peeled and cubed""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Habanero pepper"", ""qty"": ""1"", ""unit"": ""whole"", ""note"": """"}, {""name"": ""Beef broth"", ""qty"": ""6"", ""unit"": ""cups"", ""note"": """"}]","[""Season the meat with salt and pepper and brown it in a large pot or Dutch oven. Remove and set aside."", ""In the same pot, sauté the chopped onion until softened."", ""Stir in the tomato paste and cook for 5 minutes, stirring to prevent it from burning."", ""Return the meat to the pot. Add the beef broth and bring to a simmer."", ""In a separate bowl, whisk the peanut butter with a few ladles of the hot broth until it forms a smooth paste. Stir this paste into the stew."", ""Add the sweet potatoes, carrots, and the whole habanero pepper."", ""Cover and simmer on low heat for 1.5 to 2 hours, until the meat is very tender and the stew has thickened. The oil from the peanuts should rise to the surface."", ""Remove the whole habanero and serve the stew hot over rice.""]",25,120,8,Medium,Senegalese,Dinner,"peanut,stew,hearty",cozy,cold,evening
Red Red,"A popular and hearty Ghanaian stew made from black-eyed peas cooked in a spicy palm oil and tomato sauce.","[{""name"": ""Black-eyed peas"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""dried, soaked""}, {""name"": ""Red palm oil"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Canned chopped tomatoes"", ""qty"": ""1"", ""unit"": ""can (400g)"", ""note"": """"}, {""name"": ""Gari"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""(fermented cassava grits) for serving""}, {""name"": ""Ripe plantains"", ""qty"": ""3"", ""unit"": """", ""note"": ""for frying""}, {""name"": ""Scotch bonnet pepper"", ""qty"": ""1"", ""unit"": """", ""note"": ""minced""}, {""name"": ""Smoked paprika"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}]","[""Boil the soaked black-eyed peas in water until they are tender. Drain and set aside."", ""In a separate pot, heat the red palm oil over medium heat. Sauté the chopped onion until soft."", ""Add the minced scotch bonnet, smoked paprika, and any other desired spices. Cook for a minute."", ""Stir in the chopped tomatoes and cook for about 10 minutes until the sauce has reduced."", ""Add the cooked black-eyed peas to the tomato sauce and stir to combine. Season with salt."", ""Simmer the stew for 15-20 minutes for the flavors to meld. Mash some of the beans against the side of the pot to thicken the stew."", ""While the stew simmers, slice the ripe plantains and fry them in hot oil until they are golden brown and caramelized."", ""Serve the hot bean stew (Red Red) with the fried plantains and a sprinkle of gari on the side.""]",15,60,6,Easy,Ghanaian,Lunch,"vegetarian,beans,stew",warm,any,afternoon
Nigerian Pepper Soup,"A light and intensely spicy Nigerian broth soup, often made with goat meat or fish and a special blend of aromatic spices.","[{""name"": ""Goat meat or catfish"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": ""chopped""}, {""name"": ""Pepper soup spice blend"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": ""(contains ehuru, uziza, uda)""}, {""name"": ""Habanero or scotch bonnet peppers"", ""qty"": ""3"", ""unit"": """", ""note"": ""blended""}, {""name"": ""Crayfish"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""ground""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Scent leaves (efirin)"", ""qty"": ""1"", ""unit"": ""handful"", ""note"": ""chopped""}, {""name"": ""Stock cubes"", ""qty"": ""2"", ""unit"": """", ""note"": """"}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": ""to taste""}]","[""Place the washed goat meat or fish in a large pot."", ""Add enough water to cover the meat generously."", ""Add the chopped onion, stock cubes, and the blended hot peppers."", ""Bring the pot to a boil, then reduce the heat to a simmer. Cook until the meat is tender (this can take over an hour for goat meat)."", ""Once the meat is tender, add the pepper soup spice blend and the ground crayfish."", ""Stir well and continue to simmer for another 15 minutes to allow the spices to infuse the broth."", ""In the last few minutes of cooking, stir in the chopped scent leaves."", ""Season with salt to taste and serve piping hot.""]",10,80,6,Medium,Nigerian,Dinner,"soup,spicy,broth",cold,rainy,evening
Ethiopian Tibs,"A popular Ethiopian dish of cubed meat (beef or lamb), sautéed with onions, peppers, and spices.","[{""name"": ""Beef sirloin or lamb"", ""qty"": ""500"", ""unit"": ""g"", ""note"": ""cubed""}, {""name"": ""Niter kibbeh"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": ""spiced butter""}, {""name"": ""Red onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""sliced""}, {""name"": ""Jalapeño or serrano peppers"", ""qty"": ""2"", ""unit"": """", ""note"": ""sliced""}, {""name"": ""Garlic"", ""qty"": ""3"", ""unit"": ""cloves"", ""note"": ""minced""}, {""name"": ""Rosemary"", ""qty"": ""1"", ""unit"": ""sprig"", ""note"": ""fresh""}, {""name"": ""Berbere spice blend"", ""qty"": ""1"", ""unit"": ""tbsp"", ""note"": ""optional""}, {""name"": ""Tomato"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}]","[""Heat a skillet or a traditional clay pan (shekla) over high heat."", ""Add the niter kibbeh and let it melt."", ""Add the sliced onion and cook for a few minutes until it begins to soften."", ""Add the cubed beef or lamb to the hot pan. Sauté quickly, stirring and tossing, until the meat is browned on all sides."", ""Add the garlic, sliced peppers, and the fresh rosemary sprig."", ""Continue to cook for a few more minutes until the peppers soften and the meat is cooked to your liking (from rare to well-done)."", ""If you want a saucier version ('key tibs'), stir in the chopped tomato and the berbere spice blend, and cook for another 5 minutes."", ""Serve immediately, often still sizzling in the pan, with injera.""]",15,20,3,Easy,Ethiopian,Lunch,"sauteed,spicy,beef",energetic,any,afternoon
Tunisian Lablabi,"A hearty and spicy Tunisian chickpea soup, often served over crusty bread and topped with an egg.","[{""name"": ""Dried chickpeas"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""soaked overnight""}, {""name"": ""Harissa"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": ""to taste""}, {""name"": ""Garlic"", ""qty"": ""6"", ""unit"": ""cloves"", ""note"": ""crushed""}, {""name"": ""Ground cumin"", ""qty"": ""2"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Olive oil"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Stale bread"", ""qty"": ""4"", ""unit"": ""cups"", ""note"": ""torn into pieces""}, {""name"": ""Eggs"", ""qty"": ""4"", ""unit"": """", ""note"": ""soft-boiled or poached""}, {""name"": ""Lemon juice"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Capers"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""for garnish""}]","[""Drain the soaked chickpeas and cook them in a large pot of water until they are very tender (about 1.5-2 hours). Do not drain the cooking liquid."", ""In a small bowl, mix the harissa, crushed garlic, cumin, and olive oil to form a paste."", ""Stir this paste into the pot with the chickpeas and their cooking liquid. Bring to a simmer and cook for another 15 minutes."", ""Season the soup with salt."", ""To serve, divide the torn pieces of stale bread among four deep bowls."", ""Ladle the hot chickpea soup over the bread."", ""Carefully place a soft-boiled or poached egg on top of each serving."", ""Garnish with a drizzle of olive oil, a squeeze of lemon juice, capers, and perhaps some canned tuna.""]",10,120,4,Easy,Tunisian,Breakfast,"soup,chickpea,spicy",energetic,cold,morning
Mandazi,"A semi-sweet, triangular East African doughnut, often spiced with cardamom.","[{""name"": ""All-purpose flour"", ""qty"": ""3"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Sugar"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Baking powder"", ""qty"": ""2"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Ground cardamom"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Coconut milk"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""warm""}, {""name"": ""Egg"", ""qty"": ""1"", ""unit"": """", ""note"": ""beaten""}, {""name"": ""Vegetable oil"", ""qty"": ""1"", ""unit"": ""liter"", ""note"": ""for deep frying""}]","[""In a large bowl, whisk together the flour, sugar, baking powder, and cardamom."", ""In a separate bowl, mix the warm coconut milk and the beaten egg."", ""Pour the wet ingredients into the dry ingredients and mix to form a soft, pliable dough."", ""Knead the dough on a lightly floured surface for 5-10 minutes until smooth."", ""Roll the dough out to about 1/4-inch thickness. Cut it into squares, then cut the squares diagonally to form triangles."", ""Heat the oil in a deep pan to 180°C (350°F)."", ""Fry the mandazi in batches, turning once, until they are puffed up and golden brown on both sides."", ""Drain on paper towels and serve warm. They can be eaten on their own or with a cup of chai.""]",20,15,8,Easy,Tanzanian,Breakfast,"sweet,fried,doughnut",happy,any,morning
Cachupa,"The national dish of Cape Verde, a slow-cooked stew of hominy corn, beans, and various meats and vegetables.","[{""name"": ""Hominy corn (canjica)"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""dried, soaked""}, {""name"": ""Dried kidney beans"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""soaked""}, {""name"": ""Pork ribs"", ""qty"": ""300"", ""unit"": ""g"", ""note"": """"}, {""name"": ""Chorizo or linguiça sausage"", ""qty"": ""200"", ""unit"": ""g"", ""note"": ""sliced""}, {""name"": ""Sweet potato"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""cubed""}, {""name"": ""Cassava (yuca)"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""cubed""}, {""name"": ""Cabbage"", ""qty"": ""0.5"", ""unit"": ""head"", ""note"": ""shredded""}, {""name"": ""Bay leaves"", ""qty"": ""2"", ""unit"": """", ""note"": """"}]","[""In a very large pot, cook the soaked hominy and beans in plenty of water until they start to become tender (this can take 2-3 hours)."", ""Add the pork ribs and any other tough meats to the pot. Continue to simmer."", ""In a separate pan, brown the sliced chorizo to render some fat. Add this to the main pot."", ""About 45 minutes before the end of cooking, add the root vegetables: sweet potato and cassava."", ""In the last 15-20 minutes, add the shredded cabbage."", ""The stew should be thick and all the ingredients very tender. Season with salt and pepper."", ""Leftover Cachupa is often pan-fried with onions and a fried egg on top for breakfast, called 'Cachupa refogada'."", ""Serve hot in large bowls.""]",25,180,8,Medium,Cape verdean,Dinner,"stew,hearty,one-pot",cozy,cold,evening
Zigni,"A spicy Eritrean and Ethiopian beef stew seasoned with berbere spice blend.","[{""name"": ""Beef"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": ""stewing beef, cubed""}, {""name"": ""Berbere spice blend"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Onions"", ""qty"": ""3"", ""unit"": ""large"", ""note"": ""finely chopped""}, {""name"": ""Canned crushed tomatoes"", ""qty"": ""1"", ""unit"": ""can (800g)"", ""note"": """"}, {""name"": ""Garlic"", ""qty"": ""4"", ""unit"": ""cloves"", ""note"": ""minced""}, {""name"": ""Niter kibbeh or oil"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Ginger"", ""qty"": ""1"", ""unit"": ""inch"", ""note"": ""minced""}]","[""In a large, heavy-bottomed pot, cook the finely chopped onions on medium heat without oil, stirring frequently, until they are soft and have released their moisture."", ""Add the niter kibbeh or oil to the pot and continue to cook the onions until they are deeply caramelized."", ""Stir in the berbere spice blend and cook for 5-10 minutes, stirring constantly, to toast the spices."", ""Add the minced garlic and ginger and cook for another minute until fragrant."", ""Add the cubed beef to the pot and stir to coat it with the spice mixture."", ""Pour in the crushed tomatoes and enough water to cover the meat. Bring to a simmer."", ""Reduce the heat, cover, and let the stew cook for at least 1.5 to 2 hours, until the beef is very tender and the sauce has thickened."", ""Serve hot with injera.""]",15,120,6,Medium,Eritrean,Dinner,"spicy,stew,beef",warm,rainy,evening
Boerewors,"A traditional South African coiled sausage, typically containing beef mixed with pork or lamb and spices.","[{""name"": ""Ground beef"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": """"}, {""name"": ""Ground pork"", ""qty"": ""500"", ""unit"": ""g"", ""note"": """"}, {""name"": ""Pork fat"", ""qty"": ""250"", ""unit"": ""g"", ""note"": ""cubed""}, {""name"": ""Coriander seeds"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": ""toasted and ground""}, {""name"": ""Nutmeg"", ""qty"": ""2"", ""unit"": ""tsp"", ""note"": ""ground""}, {""name"": ""Black pepper"", ""qty"": ""1"", ""unit"": ""tbsp"", ""note"": ""ground""}, {""name"": ""Allspice"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": ""ground""}, {""name"": ""Brown vinegar"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Sausage casings"", ""qty"": ""1"", ""unit"": ""length"", ""note"": ""hog or sheep""}]","[""Combine the ground beef, ground pork, and cubed pork fat in a large bowl."", ""In a small bowl, mix together all the spices: ground coriander, nutmeg, black pepper, cloves, and allspice."", ""Sprinkle the spice mixture and salt over the meat. Add the brown vinegar."", ""Mix everything together gently but thoroughly with your hands until the spices are evenly distributed."", ""Chill the meat mixture in the freezer for about 30 minutes."", ""Stuff the mixture into the sausage casings using a sausage stuffer, forming one long, continuous sausage."", ""Coil the sausage into a spiral shape. It can be cooked immediately or refrigerated."", ""Cook the boerewors on a 'braai' (barbecue) over medium coals, or pan-fry it, until it is browned and cooked through. Serve with pap and chakalaka.""]",30,20,8,Hard,South african,Lunch,"sausage,grilled,spicy",celebratory,sunny,afternoon
Sosaties,"South African meat kebabs, typically lamb, marinated in a sweet and tangy curry-apricot sauce.","[{""name"": ""Lamb leg or shoulder"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": ""cubed""}, {""name"": ""Dried apricots"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""soaked""}, {""name"": ""Onions"", ""qty"": ""2"", ""unit"": """", ""note"": ""cut into chunks""}, {""name"": ""Apricot jam"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""for marinade""}, {""name"": ""Curry powder"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""for marinade""}, {""name"": ""Brown vinegar"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""for marinade""}, {""name"": ""Garlic"", ""qty"": ""2"", ""unit"": ""cloves"", ""note"": ""crushed""}, {""name"": ""Bay leaves"", ""qty"": ""2"", ""unit"": """", ""note"": """"}]","[""To make the marinade, gently heat the apricot jam, vinegar, curry powder, garlic, and bay leaves in a saucepan. Simmer for 5 minutes. Let it cool completely."", ""Place the cubed lamb in a non-reactive bowl and pour the cooled marinade over it. Mix well, cover, and marinate in the refrigerator for at least 24 hours."", ""Soak wooden skewers in water for 30 minutes."", ""Drain the soaked dried apricots."", ""Thread the marinated lamb cubes onto the skewers, alternating with the soaked apricots and chunks of onion."", ""Prepare a 'braai' (barbecue) with medium-hot coals."", ""Grill the sosaties, turning them and basting with any leftover marinade, for about 10-15 minutes, until the lamb is cooked to your liking."", ""Serve hot with rice or roosterkoek (grill bread).""]",25,20,6,Medium,South african,Dinner,"kebabs,sweet,curry",excited,sunny,evening
Fufu and Njama Njama,"A Cameroonian dish of fufu served with huckleberry greens sautéed with tomatoes and onions.","[{""name"": ""Huckleberry greens (njama njama)"", ""qty"": ""500"", ""unit"": ""g"", ""note"": ""washed""}, {""name"": ""Fufu flour (corn or cassava)"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Palm oil"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""sliced""}, {""name"": ""Tomato"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Maggi cube"", ""qty"": ""1"", ""unit"": """", ""note"": ""crumbled""}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": ""to taste""}]","[""Prepare the fufu by mixing the flour with water and cooking it over medium heat, stirring constantly until it forms a thick, smooth dough."", ""In a separate pot, heat the palm oil. Add the sliced onions and sauté until translucent."", ""Add the chopped tomato and cook until it forms a sauce."", ""Add the washed huckleberry greens to the pot and stir."", ""Season with the crumbled Maggi cube and salt."", ""Cook the greens for about 10-15 minutes until they are tender."", ""Serve the hot njama njama alongside the prepared fufu."", ""This meal is traditionally eaten with the hands.""]",20,30,4,Easy,Cameroonian,Lunch,"vegetarian,greens,traditional",relaxed,any,afternoon
Isi Ewu,"A spicy Nigerian delicacy made from a goat's head, cooked and served in a thick, savory sauce.","[{""name"": ""Goat head"", ""qty"": ""1"", ""unit"": ""whole"", ""note"": ""cut into pieces""}, {""name"": ""Palm oil"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Ehuru (calabash nutmeg)"", ""qty"": ""2"", ""unit"": ""seeds"", ""note"": ""roasted and ground""}, {""name"": ""Potash (akanwu)"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": ""mixed with water""}, {""name"": ""Onions"", ""qty"": ""2"", ""unit"": ""large"", ""note"": ""one chopped, one sliced for garnish""}, {""name"": ""Habanero peppers"", ""qty"": ""3"", ""unit"": """", ""note"": ""blended""}, {""name"": ""Utazi leaves"", ""qty"": ""1"", ""unit"": ""handful"", ""note"": ""finely sliced""}]","[""Clean the goat head thoroughly and cook it with the chopped onion and seasoning until the meat is very tender. Reserve the stock."", ""In a separate bowl, pour the palm oil. Gradually stir in the potash water to curdle and thicken the oil, turning it into a yellow paste."", ""To this paste, add the ground ehuru, blended peppers, and ground crayfish. Mix well."", ""Add the cooked goat head pieces and a little of the meat stock to the palm oil paste. Stir to coat everything."", ""Place the mixture on low heat and let it warm through for about 5 minutes, but do not let it cook."", ""Stir in most of the sliced utazi leaves."", ""Serve the Isi Ewu in a traditional wooden bowl."", ""Garnish with the remaining sliced utazi and rings of raw onion.""]",30,80,6,Hard,Nigerian,Dinner,"spicy,traditional,delicacy",celebratory,any,evening
Watapá,"A creamy and rich Afro-Brazilian shrimp stew made with bread, coconut milk, peanuts, and dendê oil.","[{""name"": ""Shrimp"", ""qty"": ""500"", ""unit"": ""g"", ""note"": ""fresh, peeled""}, {""name"": ""Bread rolls"", ""qty"": ""3"", ""unit"": """", ""note"": ""stale, crustless""}, {""name"": ""Coconut milk"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Peanuts"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""roasted and ground""}, {""name"": ""Cashew nuts"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""roasted and ground""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": """", ""note"": ""chopped""}, {""name"": ""Ginger"", ""qty"": ""1"", ""unit"": ""tbsp"", ""note"": ""grated""}, {""name"": ""Dendê oil (palm oil)"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": """"}]","[""Soak the stale bread in 1 cup of coconut milk until it is very soft."", ""In a blender, combine the soaked bread, the remaining coconut milk, ground peanuts, ground cashews, onion, and ginger. Blend until you have a smooth cream."", ""Pour the cream into a pot and cook over medium heat, stirring constantly, for about 15 minutes until it thickens."", ""Stir in the dendê oil."", ""Add the shrimp to the pot and cook for another 3-5 minutes, until they are pink and cooked through."", ""Season with salt to taste."", ""The final consistency should be that of a thick, rich cream."", ""Serve hot with white rice or as a filling for acarajé.""]",20,25,6,Medium,Brazilian,Lunch,"creamy,seafood,afro-brazilian",warm,any,afternoon
Acarajé,"A popular Afro-Brazilian street food of deep-fried black-eyed pea fritters, often served with fillings.","[{""name"": ""Dried black-eyed peas"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""peeled""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Dendê oil (palm oil)"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""for deep frying""}, {""name"": ""Dried shrimp"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""for filling""}, {""name"": ""Vatapá"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""for filling""}]","[""Soak the peeled black-eyed peas in water for at least 4 hours or overnight."", ""Drain the peas well. Place them in a food processor with the chopped onion and salt."", ""Blend until you have a smooth, thick, and airy batter. Traditionally, this is beaten by hand to incorporate air."", ""Heat the dendê oil in a deep pan to 180°C (350°F)."", ""Using two spoons, shape the batter into oval balls and carefully drop them into the hot oil."", ""Fry the acarajé, turning them, for about 5-7 minutes until they are golden brown and crispy on the outside."", ""Remove with a slotted spoon and drain on paper towels."", ""To serve, split the acarajé open, stuff with vatapá, caruru (okra stew), dried shrimp, and a spicy vinaigrette.""]",30,20,8,Medium,Brazilian,Snack,"street food,fried,afro-brazilian",energetic,sunny,afternoon
Puff-Puff,"A sweet and fluffy Nigerian fried dough snack.","[{""name"": ""All-purpose flour"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Sugar"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Active dry yeast"", ""qty"": ""2"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Warm water"", ""qty"": ""1.5"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Nutmeg"", ""qty"": ""0.5"", ""unit"": ""tsp"", ""note"": ""ground""}]","[""In a large bowl, mix the yeast with warm water and a pinch of sugar. Let it sit for 5 minutes until foamy."", ""Add the flour, sugar, salt, and nutmeg. Mix until you have a smooth, thick batter."", ""Cover the bowl and let the batter rise in a warm place for about 1 hour, or until it has doubled in size."", ""Heat vegetable oil in a deep pot for frying."", ""Use your hands or a scoop to drop small balls of batter into the hot oil."", ""Fry until golden brown on all sides, turning as they cook."", ""Remove with a slotted spoon and drain on paper towels."", ""Serve warm and enjoy the fluffy texture.""]",15,60,8,Easy,Nigerian,Snack,"sweet,fried,dough",happy,any,afternoon
Chapati,"A simple, unleavened flatbread popular across East Africa.","[{""name"": ""All-purpose flour"", ""qty"": ""3"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Warm water"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Vegetable oil"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": """"}]","[""In a bowl, combine flour and salt. Gradually add warm water while mixing to form a soft dough."", ""Knead the dough on a floured surface for 10-15 minutes until it is smooth and elastic."", ""Divide the dough into small balls. Roll each ball into a thin circle."", ""Brush the surface with oil, then roll it up into a rope and coil it. Flatten the coil and roll it out again into a circle. This creates flaky layers."", ""Heat a dry skillet or tawa over medium-high heat."", ""Cook each chapati for about a minute on each side, until it puffs up and has golden-brown spots."", ""Brush with a little oil while cooking if desired."", ""Serve warm with stews or as a wrap.""]",20,30,8,Easy,Kenyan,Breakfast,"flatbread,simple,versatile",relaxed,any,any
Spaghetti Carbonara,"A classic Roman pasta dish with eggs, hard cheese, cured pork, and black pepper.","[{""name"": ""Spaghetti"", ""qty"": ""400"", ""unit"": ""g"", ""note"": """"}, {""name"": ""Guanciale or Pancetta"", ""qty"": ""150"", ""unit"": ""g"", ""note"": ""diced""}, {""name"": ""Large egg yolks"", ""qty"": ""4"", ""unit"": """", ""note"": """"}, {""name"": ""Pecorino Romano cheese"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""finely grated""}, {""name"": ""Black pepper"", ""qty"": ""2"", ""unit"": ""tsp"", ""note"": ""coarsely ground""}]","[""Boil the spaghetti in salted water until al dente. While it cooks, sauté the guanciale until crispy."", ""In a bowl, whisk the egg yolks, Pecorino cheese, and a generous amount of black pepper."", ""Drain the pasta, reserving a cup of the starchy pasta water."", ""Quickly toss the hot pasta in the pan with the guanciale. Remove from heat."", ""Pour the egg and cheese mixture over the pasta, stirring vigorously. The heat of the pasta will create a creamy sauce."", ""Add a splash of the reserved pasta water if needed to thin the sauce. Serve immediately.""]",10,15,4,Medium,Italian,Dinner,"pasta,creamy,classic",relaxed,any,evening
Classic Cheeseburger,"The all-American classic: a juicy beef patty with cheese, lettuce, and tomato on a bun.","[{""name"": ""Ground beef (80/20)"", ""qty"": ""800"", ""unit"": ""g"", ""note"": """"}, {""name"": ""Cheddar cheese slices"", ""qty"": ""4"", ""unit"": """", ""note"": """"}, {""name"": ""Hamburger buns"", ""qty"": ""4"", ""unit"": """", ""note"": """"}, {""name"": ""Lettuce leaves"", ""qty"": ""4"", ""unit"": """", ""note"": ""iceberg or romaine""}, {""name"": ""Tomato"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""sliced""}, {""name"": ""Red onion"", ""qty"": ""0.5"", ""unit"": """", ""note"": ""thinly sliced""}]","[""Divide the ground beef into four equal portions and gently shape them into patties slightly larger than your buns."", ""Season both sides of the patties generously with salt and pepper."", ""Preheat a grill or a cast-iron skillet over medium-high heat."", ""Cook the patties for 3-4 minutes on the first side, until a brown crust forms."", ""Flip the patties and cook for another 3-4 minutes for medium doneness."", ""In the last minute of cooking, place a slice of cheddar cheese on top of each patty and let it melt."", ""Lightly toast the hamburger buns on the grill or in the skillet."", ""Assemble the burgers with your favorite toppings and serve immediately.""]",15,15,4,Easy,American,Lunch,"classic,grilled,comfort food",happy,sunny,afternoon
Kung Pao Chicken,"A spicy, stir-fried Chinese dish made with chicken, peanuts, vegetables, and chili peppers.","[{""name"": ""Chicken breast"", ""qty"": ""500"", ""unit"": ""g"", ""note"": ""cubed""}, {""name"": ""Peanuts"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""unsalted, roasted""}, {""name"": ""Dried red chilies"", ""qty"": ""8"", ""unit"": """", ""note"": ""snipped in half""}, {""name"": ""Sichuan peppercorns"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Soy sauce"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Rice vinegar"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Cornstarch"", ""qty"": ""1"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Ginger"", ""qty"": ""1"", ""unit"": ""inch"", ""note"": ""minced""}]","[""In a bowl, marinate the cubed chicken with 1 tbsp soy sauce and 1 tbsp cornstarch."", ""In a separate small bowl, prepare the sauce by mixing 2 tbsp soy sauce, the rice vinegar, 1 tsp sugar, and 1 tsp cornstarch mixed with water."", ""Heat a wok or large skillet over high heat. Add oil, then add the dried red chilies and Sichuan peppercorns and stir-fry until fragrant."", ""Add the marinated chicken to the wok and stir-fry until it is cooked through and lightly browned."", ""Add garlic and ginger and stir-fry for another 30 seconds."", ""Pour the sauce into the wok and stir until it thickens and coats the chicken."", ""Stir in the roasted peanuts and sliced green onions."", ""Serve immediately with steamed rice.""]",20,15,4,Medium,Chinese,Dinner,"spicy,stir-fry,sichuan",energetic,any,evening
